日期,平均氣溫(℃),溫差(℃),平均相對溼度(%),日照時數(小時),降水時數(小時),日累積降水量(mm)
2010-04-16,19.2,8.1,68.0,0.6,1.0,0.0
2010-04-17,21.6,7.2,67.0,0.7,0.0,0.0
2010-04-18,23.1,7.3,71.0,0.3,0.6,0.4
2010-04-19,26.3,9.4,70.0,10.6,0.0,0.0
2010-04-20,27.0,6.2,70.0,9.7,0.0,0.0
2010-04-21,28.1,7.4,65.0,10.0,0.0,0.0
2010-04-22,28.2,6.2,64.0,11.4,0.0,0.0
2010-04-23,20.6,9.9,75.0,0.0,7.3,20.5
2010-04-24,20.4,5.1,72.0,0.0,0.4,0.0
2010-04-25,23.3,8.4,67.0,7.6,0.0,0.0
2010-04-26,24.7,9.9,69.0,7.7,0.0,0.0
2010-04-27,24.3,5.3,69.0,0.2,0.0,0.0
2010-04-28,24.2,2.3,80.0,0.0,3.0,0.6
2010-04-29,24.6,5.9,78.0,0.2,1.3,0.5
2010-04-30,22.5,7.9,74.0,0.9,4.1,3.0
2010-05-01,24.7,8.8,65.0,8.3,0.0,0.0
2010-05-02,25.6,8.3,66.0,7.0,0.0,0.0
2010-05-03,26.3,6.9,69.0,8.8,0.0,0.0
2010-05-04,26.7,6.8,68.0,10.0,0.0,0.0
2010-05-05,27.9,7.8,70.0,9.3,0.0,0.0
2010-05-06,27.8,4.5,76.0,4.3,0.0,0.0
2010-05-07,28.2,5.1,73.0,1.1,0.0,0.0
2010-05-08,28.2,6.9,76.0,4.2,0.0,0.0
2010-05-09,29.3,7.5,68.0,9.1,0.0,0.0
2010-05-10,29.1,9.1,65.0,9.8,0.0,0.0
2010-05-11,27.4,7.9,67.0,7.9,0.0,0.0
2010-05-12,27.6,8.4,66.0,9.7,0.0,0.0
2010-05-13,28.1,7.7,66.0,8.8,0.0,0.0
2010-05-14,27.3,9.4,70.0,10.3,0.0,0.0
2010-05-15,26.3,7.4,72.0,2.9,0.0,0.0
2010-05-16,25.9,9.2,74.0,7.7,0.0,0.0
2010-05-17,27.6,7.4,71.0,9.4,0.0,0.0
2010-05-18,28.1,5.9,71.0,11.7,0.0,0.0
2010-05-19,28.1,6.0,71.0,11.6,0.0,0.0
2010-05-20,28.6,6.1,68.0,7.0,0.0,0.0
2010-05-21,29.3,5.6,68.0,11.1,0.0,0.0
2010-05-22,29.6,6.0,69.0,10.0,0.0,0.0
2010-05-23,27.3,4.5,83.0,0.0,11.8,72.0
2010-05-24,27.2,6.0,74.0,1.3,0.1,0.0
2010-05-25,28.9,6.9,65.0,8.2,0.0,0.0
2010-05-26,28.9,7.5,69.0,2.3,0.0,0.0
2010-05-27,29.9,6.4,65.0,7.2,0.0,0.0
2010-05-28,27.3,4.2,83.0,0.0,7.5,5.5
2010-05-29,27.2,6.0,81.0,1.1,4.5,20.0
2010-05-30,26.0,4.8,87.0,0.0,11.0,16.5
2010-05-31,26.2,7.2,71.0,3.8,0.8,0.0
2010-06-01,27.3,6.5,68.0,7.1,0.0,0.0
2010-06-02,25.7,7.8,70.0,0.9,1.9,0.5
2010-06-03,23.6,2.7,87.0,0.0,14.0,8.5
2010-06-04,25.1,4.7,80.0,2.1,0.0,0.0
2010-06-05,25.4,7.1,73.0,1.9,0.0,0.0
2010-06-06,26.3,8.9,71.0,10.1,0.0,0.0
2010-06-07,27.1,7.3,70.0,11.0,0.0,0.0
2010-06-08,28.0,6.7,67.0,5.4,0.0,0.0
2010-06-09,29.0,6.4,65.0,8.8,0.0,0.0
2010-06-10,28.3,5.1,76.0,1.0,0.6,2.5
2010-06-11,26.9,3.0,83.0,0.1,6.6,8.0
2010-06-12,27.8,5.4,80.0,2.1,0.8,1.0
2010-06-13,25.8,2.9,90.0,0.0,12.7,97.5
2010-06-14,27.1,7.0,83.0,1.9,9.3,32.5
2010-06-15,27.6,6.9,80.0,0.4,2.4,12.5
2010-06-16,29.2,6.6,75.0,8.6,0.0,0.0
2010-06-17,30.1,6.4,72.0,10.2,0.0,0.0
2010-06-18,30.3,5.5,70.0,8.6,0.0,0.0
2010-06-19,30.2,6.0,70.0,10.4,0.0,0.0
2010-06-20,30.1,5.9,73.0,8.0,0.0,0.0
2010-06-21,30.1,5.2,74.0,9.9,0.0,0.0
2010-06-22,30.4,6.9,71.0,11.1,0.0,0.0
2010-06-23,29.3,5.9,73.0,4.4,1.1,7.9
2010-06-24,27.4,6.2,80.0,2.0,5.0,37.5
2010-06-25,26.5,2.2,84.0,0.0,8.7,63.0
2010-06-26,28.6,5.0,79.0,1.3,0.8,12.0
2010-06-27,29.6,5.7,76.0,10.2,0.7,0.0
2010-06-28,30.1,5.3,73.0,8.3,0.0,0.0
2010-06-29,30.1,5.5,72.0,10.4,0.5,0.0
2010-06-30,30.7,5.9,71.0,9.2,0.0,0.0
2010-07-01,30.9,5.7,72.0,8.3,0.0,0.0
2010-07-02,30.6,5.3,71.0,7.8,0.0,0.0
2010-07-03,30.6,5.7,70.0,11.6,0.0,0.0
2010-07-04,30.8,4.9,71.0,9.6,0.5,0.0
2010-07-05,30.3,4.2,75.0,4.9,0.8,6.4
2010-07-06,30.9,5.2,68.0,8.7,0.0,0.0
2010-07-07,30.5,5.8,70.0,9.2,0.0,0.0
2010-07-08,30.4,5.5,70.0,8.6,0.0,0.0
2010-07-09,30.2,4.8,70.0,5.7,0.0,0.0
2010-07-10,30.6,5.4,69.0,9.9,0.0,0.0
2010-07-11,30.8,6.0,66.0,11.2,0.0,0.0
2010-07-12,30.7,4.7,69.0,7.1,0.0,0.0
2010-07-13,30.1,7.4,69.0,7.4,1.1,0.0
2010-07-14,29.7,11.0,67.0,8.2,1.4,46.0
2010-07-15,29.0,11.0,69.0,7.419999999999999,3.3,29.0
2010-07-16,29.3,9.6,70.0,6.64,3.3,8.0
2010-07-17,28.6,9.2,73.0,5.859999999999999,2.6,29.0
2010-07-18,30.1,8.2,67.0,5.08,0.0,0.0
2010-07-19,30.0,7.2,68.0,4.3,0.0,0.0
2010-07-20,30.4,6.6,67.0,9.5,0.0,0.0
2010-07-21,28.2,9.9,74.0,3.4,6.6,82.5
2010-07-22,28.8,7.1,71.0,4.7,1.4,0.0
2010-07-23,29.2,6.5,71.0,4.2,0.0,0.0
2010-07-24,28.6,7.5,75.0,1.6,2.3,14.5
2010-07-25,29.6,7.5,68.0,4.9,0.0,0.0
2010-07-26,27.4,7.4,78.0,0.8,12.0,86.5
2010-07-27,25.4,2.8,88.0,0.0,16.0,121.0
2010-07-28,25.6,2.9,86.0,0.1,12.2,31.0
2010-07-29,26.5,5.2,82.0,1.2,3.8,26.5
2010-07-30,26.5,5.9,82.0,1.0,5.3,21.0
2010-07-31,29.2,7.3,74.0,7.9,0.0,0.0
2010-08-01,29.7,6.5,71.0,9.9,2.1,0.5
2010-08-02,29.8,6.4,70.0,9.2,2.0,0.5
2010-08-03,29.6,6.6,70.0,9.4,0.0,0.0
2010-08-04,30.3,7.2,68.0,11.2,0.0,0.0
2010-08-05,29.6,9.7,69.0,8.2,2.3,7.5
2010-08-06,30.1,8.6,67.0,7.7,0.0,0.0
2010-08-07,30.7,6.3,69.0,5.4,0.0,0.0
2010-08-08,29.9,6.1,75.0,4.5,2.8,4.5
2010-08-09,29.8,7.2,74.0,6.5,0.0,0.0
2010-08-10,30.0,6.0,73.0,10.6,0.5,3.5
2010-08-11,29.4,5.2,76.0,1.3,1.5,7.5
2010-08-12,29.6,6.2,73.0,5.5,1.0,0.5
2010-08-13,30.2,6.9,70.0,9.4,0.0,0.0
2010-08-14,30.5,6.7,68.0,8.9,0.0,0.0
2010-08-15,29.2,8.5,71.0,7.8,1.9,63.0
2010-08-16,29.3,6.6,69.0,6.85,0.0,0.0
2010-08-17,29.4,8.6,70.0,5.9,3.0,15.0
2010-08-18,30.1,8.4,65.0,5.9,0.0,0.0
2010-08-19,30.3,6.5,67.0,4.6,1.0,1.0
2010-08-20,30.0,6.0,71.0,6.2,1.6,5.5
2010-08-21,30.2,6.1,69.0,9.4,0.0,0.0
2010-08-22,30.0,4.8,72.0,3.3,0.0,0.0
2010-08-23,28.7,6.7,76.0,3.9,3.8,7.0
2010-08-24,28.8,7.9,75.0,4.5,5.0,30.5
2010-08-25,28.6,8.2,70.0,8.0,1.5,2.0
2010-08-26,29.6,7.8,64.0,9.4,0.0,0.0
2010-08-27,30.0,5.6,67.0,10.0,0.0,0.0
2010-08-28,28.9,6.5,73.0,2.7,1.1,38.5
2010-08-29,27.9,6.7,78.0,2.3,3.9,17.5
2010-08-30,29.1,7.5,70.0,7.5,0.0,0.0
2010-08-31,28.6,5.0,73.0,3.5,1.2,5.5
2010-09-01,26.5,2.9,83.0,0.0,13.2,86.5
2010-09-02,27.4,5.1,78.0,1.0,5.8,4.0
2010-09-03,29.5,7.4,69.0,8.9,0.0,0.0
2010-09-04,28.2,6.6,74.0,3.6,4.0,9.5
2010-09-05,27.6,7.3,76.0,4.0,0.6,2.5
2010-09-06,28.4,8.0,76.0,4.2,1.0,2.0
2010-09-07,28.9,5.3,76.0,2.2,1.2,1.5
2010-09-08,29.0,6.5,73.0,3.9,0.0,0.0
2010-09-09,25.7,3.0,84.0,0.0,13.4,89.5
2010-09-10,27.9,6.5,79.0,4.5,6.6,12.5
2010-09-11,29.2,6.3,72.0,10.8,0.0,0.0
2010-09-12,28.5,6.4,75.0,6.3,0.9,4.0
2010-09-13,29.3,8.2,67.0,10.5,0.0,0.0
2010-09-14,28.6,4.1,74.0,0.7,0.0,0.0
2010-09-15,29.6,7.7,68.0,10.2,0.0,0.0
2010-09-16,29.6,6.0,71.0,8.4,0.0,0.0
2010-09-17,28.8,7.7,74.0,4.6,2.3,15.0
2010-09-18,28.8,6.5,69.0,5.9,0.0,0.0
2010-09-19,26.5,5.2,86.0,0.0,17.0,160.0
2010-09-20,25.1,4.0,83.0,0.0,14.7,72.0
2010-09-21,28.5,8.9,67.0,10.6,0.0,0.0
2010-09-22,29.2,9.2,66.0,9.5,0.0,0.0
2010-09-23,28.7,5.3,72.0,5.4,0.0,0.0
2010-09-24,28.5,5.7,71.0,7.4,0.0,0.0
2010-09-25,28.1,6.3,72.0,3.5,0.0,0.0
2010-09-26,29.0,5.7,70.0,6.0,0.0,0.0
2010-09-27,29.2,6.2,69.0,8.2,0.0,0.0
2010-09-28,29.2,5.3,70.0,6.7,0.0,0.0
2010-09-29,29.2,5.2,71.0,7.7,0.8,2.0
2010-09-30,29.2,6.4,72.0,5.7,0.0,0.0
2010-10-01,28.9,7.0,76.0,5.6,0.0,0.0
2010-10-02,29.1,6.4,72.0,8.4,0.0,0.0
2010-10-03,29.1,6.3,70.0,8.5,0.0,0.0
2010-10-04,27.3,8.1,67.0,6.8,0.0,0.0
2010-10-05,26.3,7.7,67.0,1.6,0.0,0.0
2010-10-06,26.7,7.1,73.0,1.0,2.1,2.5
2010-10-07,27.3,7.8,73.0,6.3,0.0,0.0
2010-10-08,27.2,4.9,76.0,0.5,0.0,0.0
2010-10-09,27.2,7.2,74.0,5.7,0.0,0.0
2010-10-10,28.4,7.8,69.0,8.7,0.0,0.0
2010-10-11,28.6,6.3,73.0,9.9,0.0,0.0
2010-10-12,28.9,7.1,74.0,8.2,0.0,0.0
2010-10-13,28.9,6.6,75.0,8.4,0.0,0.0
2010-10-14,29.2,7.4,71.0,9.0,0.0,0.0
2010-10-15,27.5,8.9,72.0,6.4,0.0,0.0
2010-10-16,27.1,9.8,71.0,7.9,0.0,0.0
2010-10-17,28.7,7.1,69.0,7.0,0.0,0.0
2010-10-18,27.7,8.3,68.0,6.1,0.0,0.0
2010-10-19,27.7,8.3,72.0,2.1,0.0,0.0
2010-10-20,27.3,6.3,76.0,0.5,0.0,0.0
2010-10-21,25.3,5.6,82.0,0.8,9.4,13.5
2010-10-22,25.1,5.0,83.0,0.0,6.9,15.0
2010-10-23,26.0,3.5,81.0,0.2,4.7,38.0
2010-10-24,27.2,5.9,71.0,7.6,0.0,0.0
2010-10-25,26.6,6.6,72.0,9.0,0.0,0.0
2010-10-26,23.4,7.9,66.0,8.3,0.0,0.0
2010-10-27,20.4,6.3,64.0,0.1,0.0,0.0
2010-10-28,20.2,7.1,67.0,8.3,0.0,0.0
2010-10-29,20.2,7.4,64.0,4.5,0.0,0.0
2010-10-30,21.0,9.7,66.0,9.5,0.0,0.0
2010-10-31,21.2,9.9,66.0,10.0,0.0,0.0
2010-11-01,21.9,10.1,64.0,10.0,0.0,0.0
2010-11-02,22.8,9.0,62.0,9.6,0.0,0.0
2010-11-03,22.5,8.2,69.0,0.8,0.0,0.0
2010-11-04,21.0,3.0,82.0,0.0,11.0,13.5
2010-11-05,22.2,5.5,84.0,0.6,6.9,8.0
2010-11-06,23.3,5.3,79.0,2.9,0.0,0.0
2010-11-07,24.2,5.4,78.0,1.9,0.0,0.0
2010-11-08,23.8,6.8,72.0,2.1,0.0,0.0
2010-11-09,21.7,7.3,60.0,2.0,0.0,0.0
2010-11-10,21.3,7.9,62.0,2.6,0.0,0.0
2010-11-11,22.1,8.3,68.0,7.1,0.0,0.0
2010-11-12,22.4,6.0,69.0,1.6,1.2,0.0
2010-11-13,20.5,2.7,87.0,0.0,17.0,32.5
2010-11-14,22.9,6.0,81.0,1.9,0.0,0.0
2010-11-15,22.9,6.1,79.0,0.0,0.0,0.0
2010-11-16,22.2,7.5,74.0,6.1,0.0,0.0
2010-11-17,22.1,8.1,76.0,6.3,0.0,0.0
2010-11-18,22.6,7.8,76.0,7.7,0.0,0.0
2010-11-19,21.9,6.8,80.0,1.1,0.0,0.0
2010-11-20,22.0,8.8,77.0,8.0,0.0,0.0
2010-11-21,23.9,6.7,72.0,9.1,0.0,0.0
2010-11-22,23.0,8.5,71.0,8.0,0.0,0.0
2010-11-23,21.2,8.0,72.0,7.2,0.0,0.0
2010-11-24,21.4,8.6,69.0,8.5,0.0,0.0
2010-11-25,20.9,6.6,70.0,9.3,0.0,0.0
2010-11-26,20.9,8.6,66.0,9.0,0.0,0.0
2010-11-27,21.6,6.9,68.0,9.5,0.0,0.0
2010-11-28,22.3,7.2,68.0,9.6,0.0,0.0
2010-11-29,21.2,7.7,77.0,6.5,0.0,0.0
2010-11-30,21.5,7.7,76.0,8.2,0.0,0.0
2010-12-01,21.9,9.3,74.0,4.6,0.0,0.0
2010-12-02,22.0,5.0,80.0,0.3,0.0,0.0
2010-12-03,22.2,8.4,63.0,4.1,0.0,0.0
2010-12-04,21.9,7.2,66.0,6.3,0.0,0.0
2010-12-05,22.9,9.0,74.0,5.9,0.0,0.0
2010-12-06,23.1,8.8,66.0,8.3,0.0,0.0
2010-12-07,18.3,6.7,63.0,6.6,0.0,0.0
2010-12-08,16.3,8.1,55.0,8.0,0.0,0.0
2010-12-09,17.7,10.3,59.0,9.2,0.0,0.0
2010-12-10,19.4,9.4,56.0,5.4,0.0,0.0
2010-12-11,20.4,7.4,64.0,3.6,0.0,0.0
2010-12-12,21.2,9.5,71.0,8.7,0.0,0.0
2010-12-13,23.9,10.5,70.0,5.7,0.0,0.0
2010-12-14,23.2,6.7,73.0,5.7,0.0,0.0
2010-12-15,21.0,6.4,75.0,0.4,0.0,0.0
2010-12-16,12.0,8.4,86.0,0.0,8.9,14.5
2010-12-17,13.0,6.2,65.0,9.2,0.0,0.0
2010-12-18,15.6,12.6,63.0,9.7,0.0,0.0
2010-12-19,19.8,9.3,57.0,8.4,0.0,0.0
2010-12-20,19.9,9.4,66.0,9.8,0.0,0.0
2010-12-21,19.5,8.0,72.0,6.1,0.0,0.0
2010-12-22,19.7,7.3,63.0,5.4,0.0,0.0
2010-12-23,20.4,8.5,67.0,4.9,0.0,0.0
2010-12-24,20.1,7.9,74.0,8.6,0.0,0.0
2010-12-25,18.1,7.1,72.0,7.9,0.0,0.0
2010-12-26,14.5,7.1,61.0,7.7,0.0,0.0
2010-12-27,15.1,12.2,59.0,9.5,0.0,0.0
2010-12-28,17.7,9.4,64.0,9.3,0.0,0.0
2010-12-29,19.2,9.6,63.0,9.3,0.0,0.0
2010-12-30,18.7,8.0,60.0,8.1,0.0,0.0
2010-12-31,16.1,7.3,42.0,8.8,0.0,0.0
2011-01-01,13.9,11.2,52.0,6.5,0.0,0.0
2011-01-02,15.2,11.5,63.0,8.4,0.0,0.0
2011-01-03,15.5,6.3,71.0,0.9,0.0,0.0
2011-01-04,15.5,8.3,71.0,5.8,0.0,0.0
2011-01-05,17.8,9.4,73.0,4.5,0.0,0.0
2011-01-06,16.0,7.1,78.0,0.0,0.7,2.0
2011-01-07,13.9,6.0,68.0,0.0,0.0,0.0
2011-01-08,16.2,7.7,72.0,0.8,0.0,0.0
2011-01-09,17.2,7.2,74.0,2.0,0.0,0.0
2011-01-10,14.9,6.7,70.0,0.9,0.0,0.0
2011-01-11,13.4,5.0,79.0,0.0,0.8,0.2
2011-01-12,10.8,2.6,92.0,0.0,2.5,2.0
2011-01-13,15.9,9.7,79.0,5.0,0.0,0.0
2011-01-14,17.9,7.8,81.0,4.4,0.0,0.0
2011-01-15,14.7,6.5,72.0,6.9,0.0,0.0
2011-01-16,11.3,4.8,66.0,0.0,0.0,0.0
2011-01-17,14.0,9.3,66.0,9.0,0.0,0.0
2011-01-18,15.7,9.0,73.0,3.2,0.0,0.0
2011-01-19,18.3,8.1,76.0,7.8,0.0,0.0
2011-01-20,17.2,4.9,83.0,0.0,0.0,0.0
2011-01-21,15.9,6.6,83.0,0.7,3.5,2.5
2011-01-22,15.7,6.0,74.0,0.0,0.0,0.0
2011-01-23,16.7,8.0,78.0,7.7,0.0,0.0
2011-01-24,15.5,7.1,74.0,6.2,0.0,0.0
2011-01-25,15.8,9.3,74.0,9.1,0.0,0.0
2011-01-26,16.9,7.6,77.0,6.6,0.0,0.0
2011-01-27,17.3,9.7,78.0,9.1,0.0,0.0
2011-01-28,16.6,4.9,79.0,0.5,0.0,0.0
2011-01-29,13.7,3.7,72.0,0.0,0.0,0.0
2011-01-30,13.6,7.4,70.0,4.0,0.0,0.0
2011-01-31,13.5,8.0,67.0,3.5,0.0,0.0
2011-02-01,15.2,10.4,72.0,8.0,0.0,0.0
2011-02-02,16.2,7.5,76.0,6.9,0.0,0.0
2011-02-03,16.9,10.8,75.0,9.6,0.0,0.0
2011-02-04,17.8,10.2,76.0,6.9,0.0,0.0
2011-02-05,18.8,12.1,69.0,10.0,0.0,0.0
2011-02-06,18.5,10.4,66.0,9.7,0.0,0.0
2011-02-07,20.2,8.0,62.0,10.0,0.0,0.0
2011-02-08,21.5,8.6,61.0,6.8,0.0,0.0
2011-02-09,20.6,8.7,69.0,9.1,0.0,0.0
2011-02-10,19.8,9.6,75.0,7.6,0.0,0.0
2011-02-11,16.1,8.3,71.0,7.1,0.0,0.0
2011-02-12,15.1,7.5,65.0,0.7,0.0,0.0
2011-02-13,16.2,9.7,72.0,5.6,0.6,1.0
2011-02-14,11.9,3.6,83.0,0.3,2.2,5.5
2011-02-15,13.9,9.0,75.0,2.2,0.8,0.2
2011-02-16,17.5,9.3,76.0,8.8,0.0,0.0
2011-02-17,19.5,12.4,77.0,8.4,0.0,0.0
2011-02-18,17.3,4.9,81.0,0.4,0.0,0.0
2011-02-19,16.7,6.0,78.0,1.7,0.0,0.0
2011-02-20,15.9,6.7,80.0,5.5,1.2,1.0
2011-02-21,16.7,5.7,75.0,2.2,0.0,0.0
2011-02-22,17.5,9.9,73.0,9.1,0.0,0.0
2011-02-23,19.5,8.8,74.0,8.6,0.0,0.0
2011-02-24,21.2,9.3,68.0,8.8,0.0,0.0
2011-02-25,20.3,11.3,74.0,9.0,0.0,0.0
2011-02-26,19.3,8.4,76.0,7.8,0.0,0.0
2011-02-27,20.0,7.6,78.0,5.6,0.0,0.0
2011-02-28,22.2,10.8,70.0,10.1,0.0,0.0
2011-03-01,19.3,9.4,77.0,7.4,0.0,0.0
2011-03-02,17.7,8.4,70.0,4.9,0.0,0.0
2011-03-03,17.3,9.1,70.0,0.7,0.0,0.0
2011-03-04,16.2,8.5,67.0,7.3,0.0,0.0
2011-03-05,18.7,10.2,65.0,6.6,0.0,0.0
2011-03-06,21.9,10.2,65.0,4.8,0.0,0.0
2011-03-07,17.9,8.9,69.0,4.3,0.0,0.0
2011-03-08,16.5,7.1,60.0,0.2,0.0,0.0
2011-03-09,18.9,7.5,66.0,6.1,0.0,0.0
2011-03-10,19.5,6.2,71.0,1.9,0.0,0.0
2011-03-11,19.3,7.8,72.0,5.9,0.0,0.0
2011-03-12,21.1,10.4,70.0,8.6,0.0,0.0
2011-03-13,22.0,9.9,69.0,9.3,0.0,0.0
2011-03-14,23.3,9.2,69.0,8.1,0.0,0.0
2011-03-15,21.3,12.8,69.0,8.1,0.0,0.0
2011-03-16,15.9,7.8,60.0,0.5,0.0,0.0
2011-03-17,18.2,9.1,61.0,1.1,0.0,0.0
2011-03-18,20.2,6.0,68.0,0.0,0.0,0.0
2011-03-19,22.0,9.3,72.0,5.3,0.0,0.0
2011-03-20,24.8,9.4,73.0,10.7,0.0,0.0
2011-03-21,25.6,5.8,76.0,7.1,0.0,0.0
2011-03-22,19.8,10.0,70.0,5.6,0.0,0.0
2011-03-23,17.5,7.3,66.0,2.2,0.0,0.0
